ID,DateOfBite,Date,Year,Month,Season,Species,Breed,CrossBreed,Age,Gender,SpayNeuter,Borough
29,January 08 2015,08/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,M,TRUE,Brooklyn
30,January 08 2015,08/01/2015,2015,01,Winter,DOG,BOXER,FALSE,7,F,FALSE,Queens
31,January 08 2015,08/01/2015,2015,01,Winter,DOG,MALTESE,FALSE,4,M,FALSE,Manhattan
32,January 09 2015,09/01/2015,2015,01,Winter,DOG,GOLDEN RETRIEVER,FALSE,14,M,FALSE,Queens
33,January 09 2015,09/01/2015,2015,01,Winter,DOG,NOVA SCOTIA DUCK TOLLING RETRIEVER,FALSE,5,M,TRUE,Manhattan
34,January 09 2015,09/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,2,M,TRUE,Brooklyn
35,January 09 2015,09/01/2015,2015,01,Winter,DOG,POODLE MIX,TRUE,3,M,FALSE,Manhattan
36,January 10 2015,10/01/2015,2015,01,Winter,DOG,DACHSCHUND MIX,TRUE,7,F,FALSE,Manhattan
37,January 10 2015,10/01/2015,2015,01,Winter,DOG,MIXED,TRUE,7,M,TRUE,Brooklyn
38,January 10 2015,10/01/2015,2015,01,Winter,DOG,YORKSHIRE TERRIER,FALSE,1,F,FALSE,Brooklyn
39,January 11 2015,11/01/2015,2015,01,Winter,DOG,CHIHUAHUA,FALSE,2,M,FALSE,Queens
40,January 11 2015,11/01/2015,2015,01,Winter,DOG,CHIHUAHUA,FALSE,7,M,FALSE,Queens
41,January 11 2015,11/01/2015,2015,01,Winter,DOG,CHIHUAHUA MIX,TRUE,1,M,FALSE,Bronx
42,January 11 2015,11/01/2015,2015,01,Winter,DOG,CHIHUAHUA MIX,TRUE,9,M,FALSE,Manhattan
43,January 11 2015,11/01/2015,2015,01,Winter,DOG,JACK RUSS,FALSE,2,M,TRUE,Manhattan
44,January 11 2015,11/01/2015,2015,01,Winter,DOG,MIXED,TRUE,5,F,TRUE,Other
45,January 11 2015,11/01/2015,2015,01,Winter,DOG,POMERANIAN,FALSE,11,U,FALSE,Other
46,January 12 2015,12/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,M,TRUE,Other
47,January 12 2015,12/01/2015,2015,01,Winter,DOG,SHIH TZU,FALSE,2,M,FALSE,Brooklyn
48,January 13 2015,13/01/2015,2015,01,Winter,DOG,DACHSCHUND,FALSE,12,M,TRUE,Brooklyn
49,January 13 2015,13/01/2015,2015,01,Winter,DOG,JACK RUSS,FALSE,7,M,FALSE,Manhattan
50,January 13 2015,13/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,7,M,FALSE,Manhattan
51,January 14 2015,14/01/2015,2015,01,Winter,DOG,GERMAN SHEPHERD,FALSE,3,M,FALSE,Queens
52,January 14 2015,14/01/2015,2015,01,Winter,DOG,MIXED,TRUE,8,M,TRUE,Staten Island
53,January 14 2015,14/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,9,F,FALSE,Queens
54,January 14 2015,14/01/2015,2015,01,Winter,DOG,POODLE,FALSE,3,M,FALSE,Queens
55,January 14 2015,14/01/2015,2015,01,Winter,DOG,SIBERIAN HUSKY,FALSE,2,F,FALSE,Bronx
56,January 14 2015,14/01/2015,2015,01,Winter,DOG,TERRIER MIX,TRUE,1,F,TRUE,Bronx
57,January 14 2015,14/01/2015,2015,01,Winter,DOG,TERRIER,FALSE,9,U,FALSE,Other
58,January 16 2015,16/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,2,M,FALSE,Brooklyn
59,January 17 2015,17/01/2015,2015,01,Winter,DOG,CHIHUAHUA,FALSE,1,M,FALSE,Brooklyn
60,January 17 2015,17/01/2015,2015,01,Winter,DOG,JACK RUSS,FALSE,4,M,FALSE,Bronx
61,January 17 2015,17/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,3,M,FALSE,Staten Island
62,January 17 2015,17/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,10,M,FALSE,Staten Island
63,January 17 2015,17/01/2015,2015,01,Winter,DOG,ROTTWEILER,FALSE,1,M,FALSE,Queens
64,January 18 2015,18/01/2015,2015,01,Winter,DOG,AKITA,FALSE,4,F,FALSE,Staten Island
65,January 18 2015,18/01/2015,2015,01,Winter,DOG,CHIHUAHUA,FALSE,1,M,TRUE,Queens
66,January 18 2015,18/01/2015,2015,01,Winter,DOG,JACK RUSS,FALSE,1,M,FALSE,Queens
67,January 18 2015,18/01/2015,2015,01,Winter,DOG,LABRADOR,FALSE,8,M,TRUE,Manhattan
68,January 19 2015,19/01/2015,2015,01,Winter,DOG,BULLDOG MIX,TRUE,3,F,FALSE,Bronx
69,January 19 2015,19/01/2015,2015,01,Winter,DOG,GERMAN SHEPHERD,FALSE,12,M,FALSE,Manhattan
70,January 19 2015,19/01/2015,2015,01,Winter,DOG,JACK RUSS,FALSE,12,M,FALSE,Manhattan
71,January 19 2015,19/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,5,M,TRUE,Manhattan
72,January 20 2015,20/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,2,F,FALSE,Manhattan
73,January 20 2015,20/01/2015,2015,01,Winter,DOG,CHOW CHOW,FALSE,1,M,TRUE,Manhattan
74,January 20 2015,20/01/2015,2015,01,Winter,DOG,PEKINGESE,FALSE,5,M,FALSE,Manhattan
75,January 20 2015,20/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,1,M,FALSE,Staten Island
76,January 20 2015,20/01/2015,2015,01,Winter,DOG,SHIH TZU,FALSE,0,M,FALSE,Other
77,January 21 2015,21/01/2015,2015,01,Winter,DOG,DOGUE DE BORDEAUX,FALSE,3,M,FALSE,Bronx
78,January 21 2015,21/01/2015,2015,01,Winter,DOG,YORKSHIRE TERRIER,FALSE,1,M,FALSE,Brooklyn
79,January 21 2015,21/01/2015,2015,01,Winter,DOG,YORKSHIRE TERRIER,FALSE,3,M,FALSE,Queens
80,January 22 2015,22/01/2015,2015,01,Winter,DOG,LABRADOR,FALSE,5,M,TRUE,Brooklyn
81,January 22 2015,22/01/2015,2015,01,Winter,DOG,MIXED,TRUE,5,F,TRUE,Bronx
82,January 22 2015,22/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,3,F,FALSE,Queens
83,January 23 2015,23/01/2015,2015,01,Winter,DOG,GERMAN SHEPHERD,FALSE,4,M,FALSE,Brooklyn
84,January 23 2015,23/01/2015,2015,01,Winter,DOG,MIXED,TRUE,9,M,TRUE,Manhattan
85,January 23 2015,23/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,8,M,TRUE,Queens
86,January 23 2015,23/01/2015,2015,01,Winter,DOG,POODLE,FALSE,6,F,FALSE,Bronx
87,January 23 2015,23/01/2015,2015,01,Winter,DOG,SHIH TZU,FALSE,3,M,FALSE,Bronx
88,January 23 2015,23/01/2015,2015,01,Winter,DOG,SHIH TZU,FALSE,5,F,TRUE,Manhattan
89,January 24 2015,24/01/2015,2015,01,Winter,DOG,AMERICAN STAFFORD TERRIER,FALSE,1,M,FALSE,Staten Island
90,January 24 2015,24/01/2015,2015,01,Winter,DOG,LABRADOR,FALSE,1,M,TRUE,Staten Island
91,January 24 2015,24/01/2015,2015,01,Winter,DOG,LABRADOR MIX,TRUE,7,M,FALSE,Other
92,January 25 2015,25/01/2015,2015,01,Winter,DOG,BULL DOG FRENCH,FALSE,1,M,FALSE,Bronx
93,January 25 2015,25/01/2015,2015,01,Winter,DOG,CHIHUAHUA,FALSE,1,F,FALSE,Brooklyn
94,January 25 2015,25/01/2015,2015,01,Winter,DOG,SIBERIAN HUSKY,FALSE,0,F,FALSE,Queens
95,January 25 2015,25/01/2015,2015,01,Winter,DOG,STAFFORDSHIRE BULL TERRIER,FALSE,3,F,FALSE,Other
96,January 25 2015,25/01/2015,2015,01,Winter,DOG,YORKSHIRE TERRIER,FALSE,4,M,TRUE,Queens
97,January 26 2015,26/01/2015,2015,01,Winter,DOG,ROTTWEILER,FALSE,2,F,FALSE,Staten Island
98,January 27 2015,27/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,2,M,FALSE,Brooklyn
99,January 27 2015,27/01/2015,2015,01,Winter,DOG,JACK RUSS,FALSE,11,M,FALSE,Brooklyn
100,January 27 2015,27/01/2015,2015,01,Winter,DOG,POODLE MIX,TRUE,6,M,TRUE,Queens
101,January 28 2015,28/01/2015,2015,01,Winter,DOG,CANE CORSO,FALSE,1,M,FALSE,Bronx
102,January 28 2015,28/01/2015,2015,01,Winter,DOG,CHIHUAHUA,FALSE,1,M,FALSE,Bronx
103,January 29 2015,29/01/2015,2015,01,Winter,DOG,BEAGLE,FALSE,5,F,FALSE,Bronx
104,January 30 2015,30/01/2015,2015,01,Winter,DOG,CHIHUAHUA,FALSE,4,M,FALSE,Bronx
105,January 30 2015,30/01/2015,2015,01,Winter,DOG,GERMAN SHEPHERD,FALSE,1,F,FALSE,Bronx
106,January 31 2015,31/01/2015,2015,01,Winter,DOG,CHIHUAHUA MIX,TRUE,3,M,FALSE,Brooklyn
107,January 31 2015,31/01/2015,2015,01,Winter,DOG,LABRADOR MIX,TRUE,4,M,FALSE,Manhattan
108,January 31 2015,31/01/2015,2015,01,Winter,DOG,LABRADOR MIX,TRUE,5,M,FALSE,Manhattan
109,January 31 2015,31/01/2015,2015,01,Winter,DOG,MALTESE MIX,TRUE,3,M,TRUE,Staten Island
110,January 31 2015,31/01/2015,2015,01,Winter,DOG,POODLE,FALSE,2,M,FALSE,Queens
111,January 31 2015,31/01/2015,2015,01,Winter,DOG,ROTTWEILER,FALSE,6,F,TRUE,Staten Island
112,February 01 2015,01/02/2015,2015,02,Winter,DOG,AKITA,FALSE,6,F,TRUE,Queens
113,February 01 2015,01/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,M,FALSE,Queens
114,February 01 2015,01/02/2015,2015,02,Winter,DOG,AMERICAN STAFFORD TERRIER,FALSE,3,M,FALSE,Queens
115,February 02 2015,02/02/2015,2015,02,Winter,DOG,JACK RUSSELL MIX,TRUE,2,M,TRUE,Manhattan
116,February 02 2015,02/02/2015,2015,02,Winter,DOG,PEKINGESE,FALSE,3,M,FALSE,Bronx
117,February 02 2015,02/02/2015,2015,02,Winter,DOG,PEKINGESE,FALSE,4,M,FALSE,Brooklyn
118,February 02 2015,02/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,6,M,FALSE,Staten Island
119,February 02 2015,02/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,9,F,FALSE,Queens
120,February 02 2015,02/02/2015,2015,02,Winter,DOG,SHIH TZU,FALSE,5,M,FALSE,Staten Island
121,February 02 2015,02/02/2015,2015,02,Winter,DOG,UNKNOWN,FALSE,9,M,TRUE,Bronx
122,February 02 2015,02/02/2015,2015,02,Winter,DOG,YORKSHIRE TERRIER,FALSE,9,M,TRUE,Queens
123,February 03 2015,03/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,11,M,FALSE,Queens
124,February 03 2015,03/02/2015,2015,02,Winter,DOG,GERMAN SHEPHERD,FALSE,6,M,TRUE,Staten Island
125,February 04 2015,04/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,2,F,FALSE,Manhattan
126,February 04 2015,04/02/2015,2015,02,Winter,DOG,POMERANIAN,FALSE,1,F,FALSE,Brooklyn
127,February 05 2015,05/02/2015,2015,02,Winter,DOG,DALMATIAN,FALSE,10,M,TRUE,Brooklyn
128,February 05 2015,05/02/2015,2015,02,Winter,DOG,JINDO DOG,FALSE,14,F,TRUE,Bronx
129,February 05 2015,05/02/2015,2015,02,Winter,DOG,MIXED,TRUE,4,M,FALSE,Bronx
130,February 05 2015,05/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,7,U,TRUE,Bronx
131,February 06 2015,06/02/2015,2015,02,Winter,DOG,AMERICAN ESKIMO,FALSE,10,F,TRUE,Manhattan
132,February 06 2015,06/02/2015,2015,02,Winter,DOG,LABRADOR,FALSE,6,F,FALSE,Manhattan
133,February 06 2015,06/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,2,M,FALSE,Bronx
134,February 06 2015,06/02/2015,2015,02,Winter,DOG,SHIBA INU,FALSE,3,M,FALSE,Brooklyn
135,February 06 2015,06/02/2015,2015,02,Winter,DOG,SHIBA INU,FALSE,3,M,FALSE,Brooklyn
136,February 07 2015,07/02/2015,2015,02,Winter,DOG,CAROLINA DOG,FALSE,1,M,FALSE,Bronx
137,February 07 2015,07/02/2015,2015,02,Winter,DOG,CAROLINA DOG,FALSE,1,M,FALSE,Bronx
138,February 07 2015,07/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,2,M,FALSE,Bronx
139,February 07 2015,07/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,5,M,TRUE,Brooklyn
140,February 07 2015,07/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,1,M,FALSE,Manhattan
141,February 07 2015,07/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,1,M,FALSE,Manhattan
142,February 07 2015,07/02/2015,2015,02,Winter,DOG,RAT TERRIER,FALSE,5,M,TRUE,Brooklyn
143,February 07 2015,07/02/2015,2015,02,Winter,DOG,GOLDEN RETRIEVER MIX,TRUE,3,F,TRUE,Other
144,February 07 2015,07/02/2015,2015,02,Winter,DOG,CORGI,FALSE,6,F,TRUE,Queens
145,February 08 2015,08/02/2015,2015,02,Winter,DOG,CANE CORSO,FALSE,6,M,TRUE,Manhattan
146,February 08 2015,08/02/2015,2015,02,Winter,DOG,SHIH TZU,FALSE,1,F,FALSE,Manhattan
147,February 08 2015,08/02/2015,2015,02,Winter,DOG,SIBERIAN HUSKY,FALSE,1,M,FALSE,Queens
148,February 09 2015,09/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,2,F,TRUE,Manhattan
149,February 09 2015,09/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,10,F,TRUE,Brooklyn
150,February 09 2015,09/02/2015,2015,02,Winter,DOG,AMERICAN STAFFORD MIX,TRUE,4,F,FALSE,Bronx
151,February 09 2015,09/02/2015,2015,02,Winter,DOG,CHIHUAHUA MIX,TRUE,1,M,TRUE,Manhattan
152,February 09 2015,09/02/2015,2015,02,Winter,DOG,DACHSCHUND,FALSE,9,M,FALSE,Queens
153,February 09 2015,09/02/2015,2015,02,Winter,DOG,MIXED,TRUE,0,F,FALSE,Bronx
154,February 09 2015,09/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,1,M,FALSE,Manhattan
155,February 10 2015,10/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,1,M,FALSE,Staten Island
156,February 10 2015,10/02/2015,2015,02,Winter,DOG,BULL DOG,FALSE,1,M,FALSE,Manhattan
157,February 11 2015,11/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,5,M,FALSE,Manhattan
158,February 11 2015,11/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,6,M,FALSE,Queens
159,February 11 2015,11/02/2015,2015,02,Winter,DOG,RAT TERRIER,FALSE,13,F,TRUE,Brooklyn
160,February 11 2015,11/02/2015,2015,02,Winter,DOG,STAFFORDSHIRE BULL TERRIER,FALSE,4,M,FALSE,Brooklyn
161,February 12 2015,12/02/2015,2015,02,Winter,DOG,COLLIE MIX,TRUE,1,M,TRUE,Manhattan
162,February 12 2015,12/02/2015,2015,02,Winter,DOG,GERMAN SHEPHERD,FALSE,4,M,FALSE,Brooklyn
163,February 13 2015,13/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,4,M,TRUE,Brooklyn
164,February 13 2015,13/02/2015,2015,02,Winter,DOG,BLOOD HOUND,FALSE,8,M,TRUE,Queens
165,February 13 2015,13/02/2015,2015,02,Winter,DOG,CORGI,FALSE,3,M,TRUE,Manhattan
166,February 14 2015,14/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,M,FALSE,Bronx
167,February 14 2015,14/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,4,M,FALSE,Bronx
168,February 14 2015,14/02/2015,2015,02,Winter,DOG,PODENGO PEQUENO MIX,TRUE,2,M,FALSE,Manhattan
169,February 15 2015,15/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,M,FALSE,Brooklyn
170,February 15 2015,15/02/2015,2015,02,Winter,DOG,PEKINGESE,FALSE,15,M,FALSE,Bronx
171,February 15 2015,15/02/2015,2015,02,Winter,DOG,SHIBA INU,FALSE,5,M,FALSE,Bronx
172,February 16 2015,16/02/2015,2015,02,Winter,DOG,SIBERIAN HUSKY,FALSE,5,M,FALSE,Bronx
173,February 17 2015,17/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,5,M,FALSE,Brooklyn
174,February 17 2015,17/02/2015,2015,02,Winter,DOG,GERMAN SHEPHERD,FALSE,3,M,TRUE,Staten Island
175,February 17 2015,17/02/2015,2015,02,Winter,DOG,JACK RUSS,FALSE,6,M,TRUE,Staten Island
176,February 17 2015,17/02/2015,2015,02,Winter,DOG,PODENGO PEQUENO MIX,TRUE,2,M,FALSE,Manhattan
177,February 17 2015,17/02/2015,2015,02,Winter,DOG,POODLE,FALSE,9,F,TRUE,Manhattan
178,February 17 2015,17/02/2015,2015,02,Winter,DOG,POODLE,FALSE,1,M,FALSE,Queens
179,February 17 2015,17/02/2015,2015,02,Winter,DOG,SHIH TZU,FALSE,10,M,TRUE,Queens
180,February 18 2015,18/02/2015,2015,02,Winter,DOG,JACK RUSS,FALSE,8,M,FALSE,Staten Island
181,February 18 2015,18/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,1,M,FALSE,Staten Island
182,February 18 2015,18/02/2015,2015,02,Winter,DOG,YORKSHIRE TERRIER,FALSE,3,M,FALSE,Brooklyn
183,February 19 2015,19/02/2015,2015,02,Winter,DOG,AMERICAN ESKIMO,FALSE,12,F,FALSE,Queens
184,February 19 2015,19/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,2,M,FALSE,Staten Island
185,February 19 2015,19/02/2015,2015,02,Winter,DOG,PIT BULL MIX,TRUE,2,M,FALSE,Manhattan
186,February 19 2015,19/02/2015,2015,02,Winter,DOG,PIT BULL MIX,TRUE,4,M,TRUE,Manhattan
187,February 19 2015,19/02/2015,2015,02,Winter,DOG,SPRINGER SPANIEL,FALSE,7,U,TRUE,Brooklyn
188,February 20 2015,20/02/2015,2015,02,Winter,DOG,COLLIE MIX,TRUE,6,M,TRUE,Manhattan
189,February 21 2015,21/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,M,FALSE,Queens
190,February 21 2015,21/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,M,FALSE,Queens
191,February 21 2015,21/02/2015,2015,02,Winter,DOG,JACK RUSS,FALSE,3,M,TRUE,Bronx
192,February 21 2015,21/02/2015,2015,02,Winter,DOG,POODLE,FALSE,8,M,TRUE,Queens
193,February 22 2015,22/02/2015,2015,02,Winter,DOG,BOSTON TERRIER,FALSE,5,M,FALSE,Queens
194,February 22 2015,22/02/2015,2015,02,Winter,DOG,COCKER SPANIEL,FALSE,1,M,FALSE,Bronx
195,February 22 2015,22/02/2015,2015,02,Winter,DOG,FOX HOUND,FALSE,3,F,TRUE,Brooklyn
196,February 22 2015,22/02/2015,2015,02,Winter,DOG,HAVANESE,FALSE,4,M,TRUE,Other
197,February 22 2015,22/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,10,M,TRUE,Brooklyn
198,February 23 2015,23/02/2015,2015,02,Winter,DOG,CANE CORSO,FALSE,0,F,TRUE,Other
199,February 23 2015,23/02/2015,2015,02,Winter,DOG,COLLIE MIX,TRUE,6,M,FALSE,Manhattan
200,February 23 2015,23/02/2015,2015,02,Winter,DOG,LHASA APSO,FALSE,1,M,FALSE,Manhattan
201,February 23 2015,23/02/2015,2015,02,Winter,DOG,MALTESE,FALSE,5,M,TRUE,Queens
202,February 23 2015,23/02/2015,2015,02,Winter,DOG,YORKSHIRE TERRIER,FALSE,9,M,FALSE,Other
203,February 24 2015,24/02/2015,2015,02,Winter,DOG,BICHON FRISE,FALSE,1,M,FALSE,Bronx
204,February 24 2015,24/02/2015,2015,02,Winter,DOG,MIXED,TRUE,7,M,TRUE,Queens
205,February 24 2015,24/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,1,F,FALSE,Brooklyn
206,February 24 2015,24/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,10,F,TRUE,Brooklyn
207,February 24 2015,24/02/2015,2015,02,Winter,DOG,ROTTWEILER,FALSE,1,U,FALSE,Bronx
208,February 24 2015,24/02/2015,2015,02,Winter,DOG,SHIH TZU,FALSE,3,M,TRUE,Queens
209,February 25 2015,25/02/2015,2015,02,Winter,DOG,POINTER,FALSE,2,M,TRUE,Queens
210,February 26 2015,26/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,1,M,FALSE,Brooklyn
211,February 26 2015,26/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,2,M,FALSE,Brooklyn
212,February 27 2015,27/02/2015,2015,02,Winter,DOG,AKITA,FALSE,7,F,FALSE,Manhattan
213,February 27 2015,27/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,3,M,FALSE,Brooklyn
214,February 27 2015,27/02/2015,2015,02,Winter,DOG,BLACK MOUTH CUR,FALSE,4,M,FALSE,Manhattan
215,February 27 2015,27/02/2015,2015,02,Winter,DOG,BULL DOG ENGLISH,FALSE,3,M,TRUE,Bronx
216,February 27 2015,27/02/2015,2015,02,Winter,DOG,MASTIFF,FALSE,4,F,TRUE,Bronx
217,February 27 2015,27/02/2015,2015,02,Winter,DOG,PIT BULL,FALSE,4,M,TRUE,Bronx
218,February 28 2015,28/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,2,M,FALSE,Brooklyn
219,February 28 2015,28/02/2015,2015,02,Winter,DOG,AMERICAN PITBULL MIX,TRUE,0,M,TRUE,Other
220,February 28 2015,28/02/2015,2015,02,Winter,DOG,AMERICAN STAFFORD TERRIER,FALSE,3,M,FALSE,Bronx
221,February 28 2015,28/02/2015,2015,02,Winter,DOG,BOSTON TERRIER,FALSE,8,M,TRUE,Queens
222,February 28 2015,28/02/2015,2015,02,Winter,DOG,HAVANESE MIX,TRUE,1,F,TRUE,Queens
223,February 28 2015,28/02/2015,2015,02,Winter,DOG,SHIBA INU,FALSE,1,U,FALSE,Queens
224,February 28 2015,28/02/2015,2015,02,Winter,DOG,SIBERIAN HUSKY,FALSE,1,M,FALSE,Queens
225,February 28 2015,28/02/2015,2015,02,Winter,DOG,WEIMARANER,FALSE,11,M,TRUE,Brooklyn
226,February 28 2015,28/02/2015,2015,02,Winter,DOG,CORGI,FALSE,9,M,FALSE,Staten Island
227,March 01 2015,01/03/2015,2015,03,Winter,DOG,AMERICAN PITBULL MIX,TRUE,6,F,TRUE,Brooklyn
228,March 01 2015,01/03/2015,2015,03,Winter,DOG,BORDER COLLIE,FALSE,2,M,TRUE,Other
229,March 01 2015,01/03/2015,2015,03,Winter,DOG,LABRADOR MIX,TRUE,0,M,FALSE,Manhattan
230,March 01 2015,01/03/2015,2015,03,Winter,DOG,POODLE,FALSE,14,F,TRUE,Queens
231,March 01 2015,01/03/2015,2015,03,Winter,DOG,SHIH TZU,FALSE,2,M,FALSE,Bronx
232,March 02 2015,02/03/2015,2015,03,Winter,DOG,BULL DOG,FALSE,1,M,FALSE,Staten Island
233,March 02 2015,02/03/2015,2015,03,Winter,DOG,MIXED,TRUE,6,M,FALSE,Bronx
234,March 02 2015,02/03/2015,2015,03,Winter,DOG,RHODESIAN RIDGE BACK,FALSE,8,M,TRUE,Queens
235,March 03 2015,03/03/2015,2015,03,Winter,DOG,PIT BULL,FALSE,4,F,TRUE,Queens
236,March 03 2015,03/03/2015,2015,03,Winter,DOG,POODLE,FALSE,7,F,TRUE,Staten Island
237,March 03 2015,03/03/2015,2015,03,Winter,DOG,SIBERIAN HUSKY,FALSE,10,F,FALSE,Queens
238,March 03 2015,03/03/2015,2015,03,Winter,DOG,STAFFORDSHIRE BULL TERRIER MIX,TRUE,3,M,FALSE,Manhattan
